Table [climate-associated cluster candidates]. Candidate climate-associated LD clusters across BayPass configurations.

Population set	Covariance matrix (<U+03A9>)	Climate axis	Candidate clusters (<U+2265>5 sig. markers)	Candidate clusters (<U+2265>10 sig. markers)	Median candidate cluster size (markers)
Åland-excluded (19 populations)	Internal (full data)	PC1	14	8	88
Åland-excluded (19 populations)	Internal (full data)	PC2	16	9	253
Åland-excluded (19 populations)	LD-pruned (fixed) [PRIMARY]	PC1	9	3	126
Åland-excluded (19 populations)	LD-pruned (fixed) [PRIMARY]	PC2	24	14	101
Full (20 populations)	Internal (full data)	PC1	7	6	497
Full (20 populations)	Internal (full data)	PC2	44	28	98
Full (20 populations)	LD-pruned (fixed)	PC1	4	3	449
Full (20 populations)	LD-pruned (fixed)	PC2	16	11	260

Note: a cluster is a putative candidate when at least 5 (or 10) of its member markers reach BF(dB) >= 15. Genome-wide median cluster size = 9 markers (32,854 clusters with a consensus genotype). The large size of candidate clusters relative to the genome-wide median reflects the size dependence of the member-count criterion; the eMLG gate (see the per-cluster table) restricts this set further.
