deme,pop,alpha,N_aq,N_pol,alpha_realized
1,Aland,0.349287243480252,293,274,0.348394768133175
2,Bunkkeri,0.588456508758212,494,173,0.588095238095238
3,Tvarminne,0.570371974021825,479,180,0.570917759237187
4,Grundsund,0.586824462731145,493,174,0.586206896551724
5,Heinamaki,0.638759173810861,537,152,0.638525564803805
6,Hiivola,0.59383102100959,499,170,0.594755661501788
7,Jarvenpaa,0.418535492350413,352,244,0.419047619047619
8,Karsikas,0.469849528802354,395,222,0.470798569725864
9,Katiskoski,0.48526992452953,408,216,0.485714285714286
10,Kummunmaki,0.490188162581275,412,214,0.49047619047619
11,LangholmenR,0.536574514200395,451,194,0.537544696066746
12,LangholmenW,0.571734344068574,480,180,0.571428571428571
13,Nyrhispera74,0.53490401973322,449,196,0.533888228299643
14,Nyrhispera75,0.496677282465015,417,212,0.495838287752675
15,Parikkala,0.591329957464108,497,172,0.590963139120095
16,Pikkala,0.574381599213728,482,179,0.573809523809524
17,Sielva,0.488094056790636,410,215,0.488095238095238
18,Svanvik1,0.590808460309101,496,172,0.590476190476191
19,Svanvik2,0.583991882723207,491,174,0.585220500595948
20,Vuosaari,0.581504269286368,488,176,0.580952380952381
