group_id,Chr,Pos,size,axis,eMLG_BF,n_sig,pct_sig,support
F63637,Chr24,1673178,272,PC1,38.35038627,205,75.4,>=5 sig SNPs (candidate)
F7388,Chr2,10138607,20,PC1,31.02329652,1,5,1-4 sig SNPs
F43576,Chr13,8123831,6,PC1,24.64587631,2,33.3,1-4 sig SNPs
F7404,Chr2,12899649,28,PC1,21.57593836,2,7.1,1-4 sig SNPs
F64355,Chr24,4784788,35,PC1,21.19134096,7,20,>=5 sig SNPs (candidate)
F6554,Chr2,10056976,24,PC1,19.66169219,12,50,>=5 sig SNPs (candidate)
F63812,Chr24,2032351,23,PC1,18.92671903,10,43.5,>=5 sig SNPs (candidate)
F31722,Chr9,7966699,5,PC1,18.24342544,2,40,1-4 sig SNPs
F45693,Chr14,5672151,10,PC1,16.60285467,0,0,eMLG-only (0 sig SNPs)
F41301,Chr13,4478466,12,PC1,16.28178265,0,0,eMLG-only (0 sig SNPs)
F7080,Chr2,9189106,41,PC1,16.07031179,0,0,eMLG-only (0 sig SNPs)
F23332,Chr6,7613474,8,PC1,16.01124728,0,0,eMLG-only (0 sig SNPs)
F61797,Chr22,2726658,42,PC1,15.42690367,0,0,eMLG-only (0 sig SNPs)
F20510,Chr5,8946084,13,PC1,15.3434035,0,0,eMLG-only (0 sig SNPs)
F63772,Chr24,1777883,83,PC2,36.53048195,60,72.3,>=5 sig SNPs (candidate)
F54421,Chr18,4661936,7,PC2,35.87959796,0,0,eMLG-only (0 sig SNPs)
F53948,Chr18,6499523,11,PC2,34.1597347,0,0,eMLG-only (0 sig SNPs)
F14310,Chr4,9075597,24,PC2,31.66248727,0,0,eMLG-only (0 sig SNPs)
F17762,Chr5,3040193,11,PC2,30.71576407,7,63.6,>=5 sig SNPs (candidate)
F21890,Chr6,3096997,5,PC2,27.33760189,2,40,1-4 sig SNPs
F58676,Chr20,8129042,5,PC2,23.94193047,0,0,eMLG-only (0 sig SNPs)
F12448,Chr3,10504842,6,PC2,23.31958432,2,33.3,1-4 sig SNPs
F49926,Chr16,7271131,17,PC2,22.60934856,0,0,eMLG-only (0 sig SNPs)
F35840,Chr11,6084388,14,PC2,22.01475995,0,0,eMLG-only (0 sig SNPs)
F41962,Chr13,5926761,50,PC2,21.83171335,7,14,>=5 sig SNPs (candidate)
F32802,Chr9,9005754,9,PC2,21.53422628,4,44.4,1-4 sig SNPs
F3838,Chr1,14393778,12,PC2,20.72212448,0,0,eMLG-only (0 sig SNPs)
F6754,Chr2,11986955,10,PC2,20.0973894,0,0,eMLG-only (0 sig SNPs)
F60466,Chr21,9159798,5,PC2,20.00353439,1,20,1-4 sig SNPs
F13395,Chr3,14731412,9,PC2,19.70209068,4,44.4,1-4 sig SNPs
F12565,Chr3,10321642,6,PC2,19.52392479,1,16.7,1-4 sig SNPs
F16915,Chr4,13266783,15,PC2,19.34911271,0,0,eMLG-only (0 sig SNPs)
F41903,Chr13,6175093,7,PC2,19.00880797,1,14.3,1-4 sig SNPs
F31253,Chr9,10491866,11,PC2,18.60188353,0,0,eMLG-only (0 sig SNPs)
F53378,Chr18,6514541,5,PC2,18.29608319,0,0,eMLG-only (0 sig SNPs)
F40827,Chr13,2402018,57,PC2,18.13839956,1,1.8,1-4 sig SNPs
F35768,Chr11,6010746,6,PC2,18.12238559,0,0,eMLG-only (0 sig SNPs)
F36504,Chr11,8883438,9,PC2,17.77718732,0,0,eMLG-only (0 sig SNPs)
F30134,Chr9,3458646,10,PC2,17.46077012,1,10,1-4 sig SNPs
F13266,Chr3,14003903,16,PC2,17.37710343,0,0,eMLG-only (0 sig SNPs)
F11525,Chr3,5371732,5,PC2,17.04241551,0,0,eMLG-only (0 sig SNPs)
F61514,Chr21,9665372,16,PC2,16.95714061,0,0,eMLG-only (0 sig SNPs)
F57853,Chr20,6463479,6,PC2,16.52780813,1,16.7,1-4 sig SNPs
F48934,Chr15,8997189,6,PC2,16.03562702,0,0,eMLG-only (0 sig SNPs)
F34281,Chr10,10908690,8,PC2,15.97675777,0,0,eMLG-only (0 sig SNPs)
F34785,Chr10,11485945,8,PC2,15.60608928,0,0,eMLG-only (0 sig SNPs)
F26091,Chr7,12741603,5,PC2,15.59297163,0,0,eMLG-only (0 sig SNPs)
F32290,Chr9,6756230,8,PC2,15.12435433,1,12.5,1-4 sig SNPs
F39601,Chr12,8679100,12,PC2,15.10095762,0,0,eMLG-only (0 sig SNPs)
F48676,Chr15,8634509,5,PC2,15.07546479,0,0,eMLG-only (0 sig SNPs)
F52036,Chr17,6835729,8,PC2,15.04362043,2,25,1-4 sig SNPs
