group_id,Chr,Pos,size,axis,eMLG_BF,n_sig,pct_sig,support
F63613,Chr24,1563970,259,PC1,47.62248889,215,83,>=5 sig SNPs (candidate)
F63894,Chr24,2130531,5,PC1,24.82344697,2,40,1-4 sig SNPs
F25751,Chr7,8389410,16,PC1,21.34835514,3,18.8,1-4 sig SNPs
F32109,Chr9,6178855,9,PC1,19.4290321,1,11.1,1-4 sig SNPs
F64767,Chr24,2000046,40,PC1,19.32300996,3,7.5,1-4 sig SNPs
F39061,Chr12,6224540,7,PC1,19.1310039,1,14.3,1-4 sig SNPs
F62513,Chr22,3605250,18,PC1,17.90786981,2,11.1,1-4 sig SNPs
F63847,Chr24,2027254,19,PC1,17.84389144,5,26.3,>=5 sig SNPs (candidate)
F45704,Chr14,5884042,51,PC1,17.48550562,1,2,1-4 sig SNPs
F27537,Chr8,6622585,639,PC1,16.79797817,136,21.3,>=5 sig SNPs (candidate)
F45945,Chr14,5938576,41,PC1,16.71514931,1,2.4,1-4 sig SNPs
F21962,Chr6,2526291,5,PC1,16.66544882,1,20,1-4 sig SNPs
F10110,Chr3,506408,9,PC1,16.59987091,3,33.3,1-4 sig SNPs
F24868,Chr7,5562186,18,PC1,16.54367181,3,16.7,1-4 sig SNPs
F8817,Chr2,14525048,11,PC1,16.37927434,1,9.1,1-4 sig SNPs
F45435,Chr14,6218393,10,PC1,15.51821032,1,10,1-4 sig SNPs
F17706,Chr5,3040584,11,PC2,35.80251987,7,63.6,>=5 sig SNPs (candidate)
F41688,Chr13,6179554,7,PC2,33.07636969,1,14.3,1-4 sig SNPs
F41740,Chr13,5861352,50,PC2,30.47202873,11,22,>=5 sig SNPs (candidate)
F15691,Chr4,6889634,7,PC2,26.78636416,0,0,eMLG-only (0 sig SNPs)
F64080,Chr24,3089215,28,PC2,26.4573858,7,25,>=5 sig SNPs (candidate)
F63780,Chr24,1768752,83,PC2,25.25129532,73,88,>=5 sig SNPs (candidate)
F67245,Chr26,7482198,71,PC2,23.16955563,43,60.6,>=5 sig SNPs (candidate)
F7997,Chr2,10540620,5,PC2,22.84015771,0,0,eMLG-only (0 sig SNPs)
F38925,Chr12,10505788,5,PC2,22.56682758,0,0,eMLG-only (0 sig SNPs)
F27572,Chr8,3843585,439,PC2,21.4362254,27,6.2,>=5 sig SNPs (candidate)
F57689,Chr20,6473159,6,PC2,20.51446641,2,33.3,1-4 sig SNPs
F43453,Chr13,10518596,5,PC2,20.28609603,0,0,eMLG-only (0 sig SNPs)
F12779,Chr3,10570644,7,PC2,19.95689209,0,0,eMLG-only (0 sig SNPs)
F23853,Chr6,8086312,24,PC2,18.37796357,0,0,eMLG-only (0 sig SNPs)
F67234,Chr26,7415785,42,PC2,18.1226135,7,16.7,>=5 sig SNPs (candidate)
F52380,Chr17,8963852,8,PC2,18.0048658,1,12.5,1-4 sig SNPs
F56083,Chr19,5629568,7,PC2,17.76301265,1,14.3,1-4 sig SNPs
F60870,Chr21,9161146,5,PC2,17.50274401,1,20,1-4 sig SNPs
F59806,Chr21,6998235,9,PC2,17.18740379,1,11.1,1-4 sig SNPs
F9968,Chr3,802949,8,PC2,17.13962104,0,0,eMLG-only (0 sig SNPs)
F40275,Chr12,5463186,8,PC2,17.02960269,1,12.5,1-4 sig SNPs
F53744,Chr18,6484647,11,PC2,16.982015,0,0,eMLG-only (0 sig SNPs)
F29172,Chr8,9935248,11,PC2,16.8998473,0,0,eMLG-only (0 sig SNPs)
F13498,Chr3,15108760,14,PC2,16.78463738,0,0,eMLG-only (0 sig SNPs)
F7521,Chr2,11327625,13,PC2,16.78098655,0,0,eMLG-only (0 sig SNPs)
F57495,Chr20,6604635,10,PC2,16.65472671,0,0,eMLG-only (0 sig SNPs)
F67659,Chr26,8844578,10,PC2,16.59626446,0,0,eMLG-only (0 sig SNPs)
F12547,Chr3,11286057,8,PC2,16.19581786,2,25,1-4 sig SNPs
F66677,Chr25,12787112,6,PC2,16.05324351,0,0,eMLG-only (0 sig SNPs)
F23034,Chr6,9122430,10,PC2,16.0266271,1,10,1-4 sig SNPs
F53679,Chr18,5336207,11,PC2,15.86373964,0,0,eMLG-only (0 sig SNPs)
F63893,Chr24,2115854,6,PC2,15.7595711,1,16.7,1-4 sig SNPs
F26006,Chr7,12742352,5,PC2,15.7480873,2,40,1-4 sig SNPs
F67297,Chr26,7502411,5,PC2,15.55371952,0,0,eMLG-only (0 sig SNPs)
F66195,Chr25,12080940,10,PC2,15.54753675,0,0,eMLG-only (0 sig SNPs)
F65278,Chr25,7921764,6,PC2,15.40255568,1,16.7,1-4 sig SNPs
F63271,Chr22,6448492,31,PC2,15.36759971,3,9.7,1-4 sig SNPs
F13196,Chr3,14666295,14,PC2,15.17765138,1,7.1,1-4 sig SNPs
F15271,Chr4,12619359,15,PC2,15.17538156,4,26.7,1-4 sig SNPs
F42316,Chr13,7688093,5,PC2,15.15978619,2,40,1-4 sig SNPs
F63181,Chr22,6060728,12,PC2,15.11402495,0,0,eMLG-only (0 sig SNPs)
F41775,Chr13,6029681,11,PC2,15.03580016,5,45.5,>=5 sig SNPs (candidate)
